epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.087,2.68524,8.22217,1.54535,0.44259,0.67816,0.51535,0.16793,1.85463,4.98502,1.05152,0.00034,0.00034,0.00034
2,277.263,1.71669,2.45361,1.05458,0.36092,0.62069,0.29489,0.10453,2.22916,5.35821,1.17013,0.00068614,0.00068614,0.00068614
3,405.718,1.8397,2.2022,1.06352,0.01075,0.43678,0.0074,0.00391,2.07228,64.163,1.27619,0.00101802,0.00101802,0.00101802
4,533.53,1.73648,1.41778,1.01496,0.0039,0.22989,0.00218,0.00102,2.57518,1487.27,2.19483,0.00133565,0.00133565,0.00133565
5,663.024,1.63917,1.22878,1.01733,0.84808,0.6417,0.73547,0.3473,1.84128,1.77483,1.06547,0.00163902,0.00163902,0.00163902
6,791.027,1.78254,1.25055,1.01013,0.64214,0.41379,0.46306,0.17588,2.1799,2.02176,1.12809,0.001802,0.001802,0.001802
7,916.392,1.76329,1.03901,1.04639,0.63155,0.44828,0.46771,0.1843,2.34998,1.82689,1.34475,0.0017624,0.0017624,0.0017624
8,1035.26,1.65975,1.0714,1.03343,0.57142,0.56322,0.41649,0.16707,2.23038,1.87173,1.24872,0.0017228,0.0017228,0.0017228
9,1153.91,1.59975,0.94644,1.00565,0.23581,0.57471,0.18473,0.07466,1.90883,2.38063,1.09836,0.0016832,0.0016832,0.0016832
10,1279.52,1.54111,0.9453,0.98167,0.76584,0.72414,0.72519,0.33206,1.85142,1.52877,1.09853,0.0016436,0.0016436,0.0016436
11,1405.12,1.46218,0.8582,0.93719,0.70869,0.70115,0.70388,0.3319,1.76263,1.5854,1.07018,0.001604,0.001604,0.001604
12,1530.73,1.53783,0.86244,0.98713,0.78104,0.74713,0.77686,0.31806,1.7635,1.2541,1.03807,0.0015644,0.0015644,0.0015644
13,1656.35,1.48182,0.84678,0.97476,0.82493,0.81242,0.83879,0.39224,1.6963,1.10347,1.01294,0.0015248,0.0015248,0.0015248
14,1782.27,1.32267,0.78,0.92169,0.81452,0.7931,0.83577,0.37389,1.89239,1.13361,1.08962,0.0014852,0.0014852,0.0014852
15,1906.34,1.41959,0.81551,0.93942,0.81646,0.8181,0.80646,0.36022,1.78335,1.18691,1.0456,0.0014456,0.0014456,0.0014456
16,2025.89,1.4316,0.82741,0.95177,0.76251,0.81609,0.77763,0.30982,1.91218,1.29981,1.09597,0.001406,0.001406,0.001406
17,2151.27,1.46457,0.79493,0.95515,0.81835,0.8046,0.81946,0.38487,1.97145,1.15368,1.08918,0.0013664,0.0013664,0.0013664
