epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,2277.36,1.4025,0.76969,0.94871,0.86707,0.81609,0.86193,0.3933,1.83208,1.24776,1.04615,0.0013268,0.0013268,0.0013268
19,2404.08,1.29837,0.71965,0.9141,0.85375,0.8046,0.83596,0.41498,1.84273,1.23202,1.04478,0.0012872,0.0012872,0.0012872
20,2531.24,1.3159,0.72907,0.94654,0.76266,0.7931,0.82618,0.37035,1.84363,1.44712,1.03344,0.0012476,0.0012476,0.0012476
21,2656.08,1.27466,0.68754,0.91139,0.81224,0.69615,0.75538,0.35428,1.74602,1.69068,1.01292,0.001208,0.001208,0.001208
22,2773.52,1.31684,0.68525,0.91926,0.7636,0.82759,0.79383,0.33219,1.87744,1.09332,1.05484,0.0011684,0.0011684,0.0011684
23,2891.4,1.29663,0.65523,0.87915,0.83453,0.83908,0.88828,0.43128,1.76903,1.12962,1.04851,0.0011288,0.0011288,0.0011288
24,3009.73,1.24403,0.64028,0.89516,0.76016,0.8046,0.81071,0.39939,1.87971,1.22416,1.0675,0.0010892,0.0010892,0.0010892
25,3127,1.26579,0.68314,0.90903,0.81312,0.87356,0.85351,0.39495,1.91623,1.17101,1.0745,0.0010496,0.0010496,0.0010496
26,3260.05,1.24467,0.6349,0.87895,0.83152,0.85057,0.84757,0.37896,1.89321,1.03663,1.04678,0.00101,0.00101,0.00101
27,3386.06,1.23466,0.61616,0.89898,0.85723,0.82759,0.83258,0.3888,1.9004,1.11206,1.06035,0.0009704,0.0009704,0.0009704
28,3511.87,1.1789,0.63592,0.88093,0.8231,0.78161,0.8175,0.34908,2.01104,1.19693,1.09284,0.0009308,0.0009308,0.0009308
29,3638.74,1.18941,0.61823,0.89665,0.84167,0.79436,0.82968,0.38658,1.87029,1.06982,1.0717,0.0008912,0.0008912,0.0008912
30,3765.35,1.17231,0.61522,0.88665,0.83467,0.77011,0.8147,0.3872,1.80845,1.14594,1.034,0.0008516,0.0008516,0.0008516
31,3888.04,1.17331,0.59479,0.87737,0.7553,0.82759,0.79858,0.36639,1.84734,1.38741,1.04723,0.000812,0.000812,0.000812
32,4005.87,1.1717,0.59996,0.90418,0.77823,0.84706,0.8099,0.38083,1.88075,1.19488,1.05964,0.0007724,0.0007724,0.0007724
33,4123.83,1.08515,0.55465,0.87324,0.84251,0.7994,0.80012,0.3809,1.849,1.07799,1.05898,0.0007328,0.0007328,0.0007328
34,4241.13,1.08679,0.54832,0.87567,0.82921,0.7931,0.80612,0.39369,1.87121,1.12776,1.07211,0.0006932,0.0006932,0.0006932
35,4359.23,1.14394,0.55161,0.87891,0.82253,0.82759,0.81381,0.39013,1.91107,1.12696,1.07809,0.0006536,0.0006536,0.0006536
36,4493.04,1.06641,0.54072,0.88092,0.76856,0.83975,0.81491,0.39987,1.84544,1.1449,1.05988,0.000614,0.000614,0.000614
37,4620.62,1.0984,0.54311,0.87399,0.80502,0.85423,0.86312,0.43408,1.80207,1.07127,1.04844,0.0005744,0.0005744,0.0005744
38,4746.81,1.04948,0.53359,0.88761,0.78419,0.83908,0.81261,0.4042,1.85395,1.06881,1.06765,0.0005348,0.0005348,0.0005348
39,4873.2,1.10882,0.55207,0.87663,0.77439,0.86801,0.82332,0.41521,1.79419,1.05583,1.05096,0.0004952,0.0004952,0.0004952
40,5000.7,1.02444,0.51354,0.85787,0.81278,0.86207,0.89232,0.46076,1.7238,1.0352,1.02595,0.0004556,0.0004556,0.0004556
41,5127.56,1.04291,0.52588,0.88316,0.86288,0.83908,0.89439,0.46006,1.76033,1.0288,1.03437,0.000416,0.000416,0.000416
42,5246.84,1.02952,0.49948,0.86632,0.87751,0.81609,0.85225,0.41737,1.84879,1.02703,1.05614,0.0003764,0.0003764,0.0003764
43,5371.58,0.98818,0.48007,0.86364,0.88686,0.82759,0.84777,0.44151,1.78044,1.01588,1.04119,0.0003368,0.0003368,0.0003368
44,5495.89,0.97989,0.48125,0.86238,0.84255,0.82759,0.83028,0.4371,1.77118,1.05505,1.04444,0.0002972,0.0002972,0.0002972
45,5621.15,0.96027,0.46621,0.85128,0.79393,0.84141,0.82396,0.39819,1.88469,1.12391,1.0783,0.0002576,0.0002576,0.0002576
46,5749.6,0.96583,0.46841,0.862,0.80094,0.81609,0.82845,0.41055,1.86493,1.11961,1.07122,0.000218,0.000218,0.000218
47,5875.92,0.9334,0.46619,0.8659,0.80476,0.82759,0.81858,0.41841,1.84649,1.13786,1.06964,0.0001784,0.0001784,0.0001784
48,6002.13,0.9478,0.45971,0.84069,0.80169,0.82759,0.81588,0.41399,1.83599,1.14346,1.06817,0.0001388,0.0001388,0.0001388
49,6128.77,0.929,0.45003,0.85537,0.79253,0.85057,0.81608,0.4189,1.82291,1.13823,1.06359,9.92e-05,9.92e-05,9.92e-05
50,6254.8,0.93163,0.44736,0.8376,0.80727,0.83908,0.81959,0.42932,1.81912,1.1224,1.0596,5.96e-05,5.96e-05,5.96e-05
