epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.5432,2.93979,4.83677,1.6384,0.00333,0.22989,0.00237,0.00049,2.16204,4.32092,1.07586,0.00034,0.00034,0.00034
2,125.508,2.01752,2.63749,1.11871,0.01017,0.70115,0.01035,0.0034,2.14583,3.91038,1.06957,0.00068614,0.00068614,0.00068614
3,180.983,1.86529,2.07935,1.04263,0.0105,0.72414,0.03886,0.01355,2.42485,3.54409,1.21785,0.00101802,0.00101802,0.00101802
4,237.423,1.88366,1.83972,1.05391,0.00983,0.67816,0.23227,0.07319,2.91877,3.37112,1.62267,0.00133565,0.00133565,0.00133565
5,293.632,1.80711,1.70163,1.05888,0.78079,0.04156,0.30717,0.15345,2.06373,3.10486,1.1411,0.00163902,0.00163902,0.00163902
6,349.586,1.84898,1.75847,1.00953,0.196,0.16816,0.11868,0.04694,2.18025,3.03626,1.1289,0.001802,0.001802,0.001802
7,405.873,1.70615,1.51977,1.01285,0.82914,0.50205,0.6019,0.27144,2.05967,2.07088,1.11682,0.0017624,0.0017624,0.0017624
8,461.423,1.66427,1.49917,1.01573,0.91544,0.3734,0.54942,0.23969,2.05537,2.44453,1.08611,0.0017228,0.0017228,0.0017228
9,517.684,1.60137,1.35176,0.99841,0.68464,0.68966,0.69552,0.27117,2.02149,1.74549,1.09783,0.0016832,0.0016832,0.0016832
10,574.585,1.55694,1.33554,0.97944,0.79167,0.72414,0.7499,0.32316,1.98463,1.71082,1.07556,0.0016436,0.0016436,0.0016436
11,631.832,1.5712,1.29932,0.94991,0.76701,0.68112,0.7343,0.31021,1.95804,1.64026,1.07239,0.001604,0.001604,0.001604
12,687.782,1.51859,1.19807,0.98405,0.72143,0.74713,0.74646,0.30189,2.08304,1.59672,1.11279,0.0015644,0.0015644,0.0015644
13,744.005,1.50973,1.20342,0.97597,0.83308,0.80317,0.82924,0.35082,1.87608,1.44447,1.04588,0.0015248,0.0015248,0.0015248
14,800.634,1.44825,1.09132,0.94051,0.76713,0.82759,0.80956,0.36168,1.87853,1.48052,1.06062,0.0014852,0.0014852,0.0014852
15,856.386,1.44079,1.16854,0.93743,0.82661,0.77011,0.81113,0.38778,1.72371,1.45397,1.00486,0.0014456,0.0014456,0.0014456
16,912.553,1.44548,1.06292,0.95377,0.73702,0.82759,0.82533,0.37729,1.77289,1.40891,1.02753,0.001406,0.001406,0.001406
17,965.631,1.47813,1.10847,0.95216,0.77811,0.74713,0.72062,0.27164,2.07742,1.41504,1.12279,0.0013664,0.0013664,0.0013664
18,1018.54,1.5109,1.02848,0.9646,0.8793,0.72414,0.82248,0.36033,1.85637,1.32651,1.0434,0.0013268,0.0013268,0.0013268
19,1071.31,1.3943,0.9305,0.9254,0.78085,0.78161,0.80749,0.34013,1.9886,1.24964,1.07056,0.0012872,0.0012872,0.0012872
20,1123.2,1.40827,0.99831,0.9529,0.78038,0.7931,0.79285,0.35488,1.99096,1.31904,1.0689,0.0012476,0.0012476,0.0012476
21,1175.22,1.34433,0.92681,0.91523,0.86803,0.75603,0.81657,0.38658,1.82909,1.3184,1.04139,0.001208,0.001208,0.001208
22,1225.54,1.41211,0.92017,0.94053,0.74596,0.8046,0.77011,0.34207,1.95208,1.36371,1.0733,0.0011684,0.0011684,0.0011684
23,1277.93,1.40465,0.88793,0.89718,0.78154,0.90805,0.84973,0.37604,1.8683,1.2743,1.05354,0.0011288,0.0011288,0.0011288
24,1329.05,1.3643,0.91485,0.91962,0.77051,0.83908,0.79963,0.35472,1.90947,1.27466,1.07333,0.0010892,0.0010892,0.0010892
25,1380.15,1.37714,0.91477,0.92625,0.76126,0.78161,0.77602,0.32293,1.99277,1.35353,1.09138,0.0010496,0.0010496,0.0010496
26,1440.84,1.31899,0.85146,0.88042,0.78743,0.81609,0.81933,0.39794,1.86278,1.19886,1.04577,0.00101,0.00101,0.00101
27,1500.77,1.33716,0.84195,0.90885,0.78083,0.75862,0.81062,0.37764,1.82284,1.2237,1.0376,0.0009704,0.0009704,0.0009704
28,1565.06,1.18533,0.81031,0.88905,0.81568,0.78161,0.80595,0.38712,1.81579,1.32037,1.02611,0.0009308,0.0009308,0.0009308
29,1633.88,1.20711,0.80199,0.89292,0.78531,0.75681,0.76558,0.35187,1.91693,1.48211,1.04777,0.0008912,0.0008912,0.0008912
30,1702.4,1.24007,0.77386,0.89579,0.72366,0.82759,0.80861,0.37807,1.82125,1.35009,1.03108,0.0008516,0.0008516,0.0008516
