epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,1761.18,1.24308,0.80381,0.88657,0.77891,0.80994,0.79074,0.33195,1.97895,1.47059,1.06247,0.000812,0.000812,0.000812
32,1818.13,1.21992,0.76949,0.91145,0.79309,0.749,0.77077,0.36255,2.02393,1.43558,1.07788,0.0007724,0.0007724,0.0007724
33,1874.76,1.22077,0.77158,0.89031,0.81322,0.73563,0.77802,0.35656,1.96443,1.48652,1.06191,0.0007328,0.0007328,0.0007328
34,1931.91,1.18333,0.73298,0.88878,0.79887,0.75862,0.7902,0.3628,1.92347,1.37425,1.04912,0.0006932,0.0006932,0.0006932
35,1987.84,1.18918,0.73043,0.88135,0.86916,0.76357,0.83772,0.36318,1.9901,1.35999,1.061,0.0006536,0.0006536,0.0006536
36,2044.91,1.12448,0.74546,0.88516,0.78687,0.75862,0.76712,0.34964,2.03059,1.4249,1.06992,0.000614,0.000614,0.000614
37,2104.22,1.16151,0.75201,0.8772,0.82249,0.81609,0.79698,0.36508,1.93523,1.44331,1.05436,0.0005744,0.0005744,0.0005744
38,2160.17,1.13005,0.70882,0.88947,0.78944,0.81884,0.80444,0.37648,1.91342,1.41696,1.04218,0.0005348,0.0005348,0.0005348
39,2216.21,1.18111,0.73049,0.87972,0.77068,0.77261,0.7694,0.33859,1.97727,1.38733,1.05558,0.0004952,0.0004952,0.0004952
40,2272.34,1.13476,0.69222,0.86886,0.83049,0.78844,0.82219,0.36215,1.95245,1.32267,1.0547,0.0004556,0.0004556,0.0004556
41,2328.99,1.09977,0.70367,0.88793,0.85001,0.7817,0.81773,0.38104,1.88316,1.27031,1.042,0.000416,0.000416,0.000416
42,2383.45,1.09813,0.68474,0.87514,0.83019,0.78676,0.81428,0.38083,1.88406,1.36953,1.04243,0.0003764,0.0003764,0.0003764
43,2438.21,1.0766,0.67943,0.87679,0.82797,0.8046,0.83081,0.38367,1.88496,1.38703,1.04789,0.0003368,0.0003368,0.0003368
44,2492.65,1.0934,0.68003,0.88255,0.82255,0.79921,0.82684,0.38526,1.86779,1.3882,1.04398,0.0002972,0.0002972,0.0002972
45,2547.21,1.0556,0.6499,0.86679,0.82833,0.81609,0.85282,0.3854,1.87324,1.36055,1.04153,0.0002576,0.0002576,0.0002576
46,2601.46,1.05058,0.66381,0.87072,0.86237,0.79223,0.85668,0.39948,1.84733,1.25104,1.02722,0.000218,0.000218,0.000218
47,2655.75,1.02599,0.64689,0.87236,0.85938,0.7931,0.85746,0.38926,1.89173,1.23623,1.03716,0.0001784,0.0001784,0.0001784
48,2711.41,1.02993,0.65057,0.84805,0.84107,0.77011,0.82371,0.37554,1.90256,1.24429,1.04614,0.0001388,0.0001388,0.0001388
49,2768.11,1.03543,0.63362,0.86564,0.84909,0.77612,0.82715,0.38752,1.90606,1.23665,1.04797,9.92e-05,9.92e-05,9.92e-05
50,2825.92,1.03094,0.64092,0.84951,0.86809,0.78161,0.85968,0.38709,1.882,1.23985,1.03972,5.96e-05,5.96e-05,5.96e-05
